db,folder,file,description,timestamp,commit_sha,seed,epistemic_gain,b_candidates,opponent,n_steps,mean_joint_dist,start_joint_dist,final_joint_dist,joint_match_ratio,mean_row_dist,start_row_dist,final_row_dist,row_match_ratio,corr_joint_vfe,corr_joint_efe,corr_joint_gamma,corr_row_vfe,corr_row_efe,corr_row_gamma,mean_vfe,mean_efe,mean_gamma
scripts\BMA-Study\EG10_group\full_vs_Grim_EG10.db,EG10_group,full_vs_Grim_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260309-150558,d6554bb8,7,10.0,Full,Grim,2000,0.34405959517533985,0.5061142165411571,0.45278246998786925,0.0865,0.10532913863006979,0.13051620721817017,0.047217530012130735,0.48,-0.07596724754926204,0.4059870461310485,0.4059873122511873,0.01847292444369242,-0.4223988596184239,-0.42239949249361874,5.164971741869114,-2.3113414682122286,2.470775172410965
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,4,10.0,Full,TFT,2000,0.5077927360759211,0.532242257548146,0.4993786133901162,0.0005,0.09116506117582321,0.05216033160686493,0.0032018864154815673,0.751,0.4869492467565514,0.2189458308591224,0.21895086041784237,-0.10683897527627363,0.53464797259906,0.5346532171444472,14.453668089196086,-4.894195769639881,2.0147250952279276
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,7,10.0,Full,TFT,2000,0.5113010972243148,0.5337142393912538,0.49942189988604624,0.0005,0.09323967283964157,0.05867227733135223,0.003148883581161499,0.7485,0.4720589689937644,0.23432857767101767,0.23433065437881737,-0.126812644479718,0.5738679818254547,0.5738701327334201,14.561315326735377,-4.8826705571617826,2.0163758376220637
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,8,10.0,Full,TFT,2000,0.5088463101135121,0.5321301690295229,0.49927887233436574,0.0005,0.09061449851095676,0.0525929981470108,0.0035090166330337524,0.7525,0.4945808025265995,0.23326079561939136,0.23325554507256674,-0.1004384424072551,0.5613119397109365,0.5613100513482284,14.59621863475442,-4.87282794608779,2.0179216612775717
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,6,10.0,Full,TFT,2000,0.5071648301360943,0.5392776848096179,0.4993906932651137,0.0005,0.09042429327964782,0.04488834381103515,0.003089921474456787,0.7455,0.4985889057630698,0.28745691604046203,0.2874564552818228,-0.09071154509265607,0.5302400458572938,0.5302417078332532,14.499203995287418,-4.891785832706472,2.0150893861228223
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,5,10.0,Full,TFT,2000,0.509771794843529,0.537283835350043,0.49939645657978415,0.0005,0.09234744886308908,0.05369808912277221,0.0031744545698165895,0.7485,0.49546343861656067,0.26762746463397785,0.2676256136740665,-0.10619074848978002,0.5400352721979713,0.5400359982545497,14.498840806141496,-4.8902976903556885,2.0152429964942935
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,1,10.0,Full,TFT,2000,0.5178006850574364,0.5326178300940085,0.4992627240612073,0.0005,0.09578070987015963,0.051430104970932006,0.003813185691833496,0.7555,0.5114065621448248,0.1872977763217431,0.18729726277101288,-0.02830667814940669,0.5820785754178155,0.5820770936282906,14.746500623479486,-4.865340658741303,2.018972003255971
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,3,10.0,Full,TFT,2000,0.5084416234880379,0.5332448955694669,0.49928856821762146,0.0005,0.09043770353496075,0.05211123764514923,0.0032874530553817748,0.7515,0.5108326224069779,0.19702712253921842,0.19702416699518296,-0.08203868914990396,0.5412057726172471,0.5412038559526668,14.555552581444383,-4.882353761377253,2.0164965028819433
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,2,10.0,Full,TFT,2000,0.5148613340139938,0.5292375040587944,0.49930569201515174,0.0005,0.09403920794278384,0.049091516733169555,0.003637794256210327,0.7555,0.503950612530081,0.1895493678645298,0.18954557889573623,-0.06382723632290573,0.5820589972218523,0.5820566259814177,14.72128703854978,-4.860716853415446,2.0197060086796688
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260307-193242,cadb35fb,6,10.0,Full,TFT,2000,0.4600805741129511,0.47275616161159095,0.49979136945420294,0.094,0.05958095600642264,0.033883748352527616,0.00025302886962890624,0.8655,0.2826806309134208,-0.05972269294935286,-0.05972561754894561,-0.06233794767338069,0.26063297675931546,0.26063316864149405,13.561549434162677,-4.525765038325699,2.0696360755049894
