db,folder,file,description,timestamp,commit_sha,seed,epistemic_gain,b_candidates,opponent,phase_idx,game,start,end,duration,mean_joint_dist,start_joint_dist,final_joint_dist,joint_match_ratio,joint_convergence_t,mean_row_dist,start_row_dist,final_row_dist,row_match_ratio,row_convergence_t,mean_col_dist,corr_joint_vfe,corr_joint_efe,corr_joint_gamma,corr_row_vfe,corr_row_efe,corr_row_gamma,mean_vfe,mean_efe,mean_gamma
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,8,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.526265838092067,0.15817106485366822,0.7498272336582452,0.0,,0.38034321755170825,0.15817106485366822,0.5065050786733627,0.0,,0.2375,0.5866722317403813,0.8800958361544601,0.8800908468709223,0.5724725032808451,0.8857430284796575,0.8857436740673776,8.515958314836025,-4.509916319133497,2.0696420560931807
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,8,10.0,Full,TFT,2,1_2_2_Chicken,1200,2000,800,0.5081139750215812,0.6151833045723577,0.49927887233436574,0.0,,0.02204155147075653,0.14403336524963378,0.0035090166330337524,0.91,1284.0,0.0,0.09663770370599654,0.29603339305844245,0.2959998529059324,0.06949869878261017,0.29985299209370087,0.29984290331543806,16.628316359817983,-4.949224692806528,2.007012314530262
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,6,10.0,Full,TFT,0,1_2_2_Chicken,0,800,800,0.5019450338223036,0.5392776848096179,0.5001972402666801,0.00125,,0.015131368022412061,0.04488834381103515,0.00813811480998993,0.96125,0.0,0.0,0.16042330422978973,0.27745112115517834,0.2774572218774126,0.32201591854638345,0.5929574479606182,0.5929713542313715,15.515611544251442,-4.962235953570482,2.005084467615257
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,6,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.5149800695445392,0.1601784998178482,0.8014278134552414,0.0,,0.37554201286286115,0.1601784998178482,0.509710322022438,0.0,,0.2275,0.6013150714412613,0.9209344182803928,0.9209566566800097,0.5936598843048606,0.9265233249187895,0.9265289006126599,8.262955378890037,-4.623347076775917,2.0531363607198703
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,6,10.0,Full,TFT,2,1_2_2_Chicken,1200,2000,800,0.5084770067456627,0.6150884272032805,0.4993906932651137,0.0,,0.023158358745276927,0.14386552810668946,0.003089921474456787,0.9025,1290.0,0.0,0.1262989107431945,0.28772463916792046,0.28770347460595974,0.10623747021513522,0.267171656704643,0.26715998354520104,16.600920754522086,-4.955555089807741,2.006070817331863
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,5,10.0,Full,TFT,0,1_2_2_Chicken,0,800,800,0.5010286933626555,0.537283835350043,0.49916942538967335,0.00125,,0.014086494762450457,0.05369808912277221,0.008056624531745911,0.97,0.0,0.0,0.19667117262045608,0.2687971452919882,0.2688001996183182,0.3260389414296351,0.59572059763073,0.5957211079059219,15.539634066149592,-4.96016439475712,2.0053619536175313
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,5,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.5307763179391398,0.16542212128639222,0.8111972329769305,0.0,,0.3866557411849499,0.16542212128639222,0.5058237367868423,0.0,,0.235,0.608371318169028,0.8891309335106056,0.8891308405650907,0.5975882526199541,0.8848230686430617,0.8848229611583304,8.396546339765191,-4.615049192051618,2.054044738725317
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,5,10.0,Full,TFT,2,1_2_2_Chicken,1200,2000,800,0.508012634776597,0.6104900137139672,0.49939645657978415,0.0,,0.023454256802797318,0.15168431401252747,0.0031744545698165895,0.90125,1288.0,0.0,0.09531452896784579,0.2926594438411939,0.2926337179695862,0.07064236389799063,0.29139992026432077,0.2914075395327488,16.50919477932155,-4.958055235106292,2.0057231682555443
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,1,10.0,Full,TFT,0,1_2_2_Chicken,0,800,800,0.5010686364844418,0.5326178300940085,0.4999803948970247,0.00125,,0.016135801430791616,0.051430104970932006,0.009171919226646423,0.96875,0.0,0.0,0.1852366770531747,0.20547516574987917,0.20546413666555013,0.3249410277474077,0.5064757394959962,0.5064754913420043,15.60516086436808,-4.981054219831424,2.0025439195566936
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,1,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.5732406800453426,0.16509091168642043,0.7985004531283992,0.0,,0.4062745448201895,0.16509091168642043,0.507193591594696,0.0,,0.2725,0.7266884421780805,0.8145829654613679,0.8145915623312597,0.7211123970109993,0.8069513458784754,0.8069532717571913,9.563043463453651,-4.445637742027394,2.078565773040074
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,1,10.0,Full,TFT,2,1_2_2_Chicken,1200,2000,800,0.5068127361364779,0.6062959690324953,0.4992627240612073,0.0,,0.02017870083451271,0.1586579215526581,0.003813185691833496,0.92,1274.0,0.0,0.17178927014768033,0.24037605533017525,0.2403915708712124,0.18803835120285495,0.1673769384715634,0.16737751291627304,16.479568962603807,-4.959478556008138,2.0056032020631966
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,3,10.0,Full,TFT,0,1_2_2_Chicken,0,800,800,0.5013032506088053,0.5332448955694669,0.5001065214254959,0.00125,,0.01390563940629363,0.05211123764514923,0.008803613781929016,0.9725,0.0,0.0,0.19689090189894415,0.19864467848602424,0.1986214760819237,0.34540127013789673,0.43429650043134976,0.4342960030823532,15.609305300116539,-4.977450686083319,2.0030292413140676
scripts\BMA-Study\EG10_group\full_vs_TFT_EG10.db,EG10_group,full_vs_TFT_EG10.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260307-191907,cadb35fb,3,10.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.5238845394756528,0.15467266201972962,0.8241488852192318,0.0,,0.3796759220585227,0.15467266201972962,0.5077636313438415,0.0,,0.235,0.6406424743984112,0.9145582014416911,0.9145534602778636,0.6351581726582701,0.9189587911725074,0.9189540720798358,8.458568641617894,-4.542608700362818,2.0646477865690813
